age,duration,campaign,pdays,previous,emp_var_rate,cons_price_ind,cons_conf_ind,euribor,nr_employee
30,487,2,999,6,-3,92,-46,4,5099
39,346,4,999,6,3,93,-36,4,5191
25,227,6,999,6,3,94,-41,4,5228
38,17,3,999,6,3,94,-41,4,5228
47,58,6,999,6,2,93,-42,4,5195
32,128,3,999,2,-3,94,-37,5,4963
32,290,4,999,6,-3,94,-37,5,4963
41,44,2,999,6,2,93,-42,4,5195
31,68,6,999,8,2,93,-42,4,5195
35,170,6,999,6,3,93,-36,4,5191
25,301,6,999,6,3,93,-42,4,5228
36,148,6,999,6,3,93,-42,4,5228
36,97,2,999,6,3,93,-36,4,5191
47,211,2,999,6,3,94,-41,4,5228
29,553,2,999,6,-3,92,-46,4,5099
27,698,2,999,6,3,93,-42,4,5228
44,191,6,999,6,3,93,-42,4,5228
46,59,4,999,6,3,93,-42,4,5228
45,38,2,999,6,3,93,-36,4,5228
50,849,6,999,6,3,93,-42,4,5228
55,326,6,999,6,3,93,-42,4,5228
39,222,6,12,2,-3,93,-34,5,5008
29,626,3,999,6,3,93,-36,4,5228
40,119,6,999,6,3,93,-36,4,5228
44,388,7,999,6,3,93,-36,4,5191
38,479,6,999,6,3,93,-36,4,5228
36,446,6,999,6,3,93,-36,4,5191
28,68,2,999,8,-3,92,-46,4,5099
47,127,6,999,6,3,93,-36,4,5191
34,109,6,999,6,3,93,-36,4,5228
38,113,6,999,8,-3,92,-50,4,5099
33,393,3,999,6,3,94,-41,4,5228
51,151,2,999,6,-2,92,-40,4,5076
30,256,6,999,6,3,94,-41,4,5228
48,42,7,999,6,3,93,-36,4,5228
28,525,6,999,6,3,94,-41,4,5228
36,57,6,999,6,3,93,-36,4,5191
46,499,6,999,6,2,93,-42,4,5195
31,84,6,999,8,-3,92,-46,4,5099
20,137,3,999,3,-3,94,-49,5,4963
35,31,6,999,6,-3,92,-46,4,5099
38,430,6,999,6,3,94,-41,4,5228
76,126,6,999,8,-3,94,-38,5,4991
45,211,3,999,6,3,93,-42,4,5228
32,340,6,999,6,-3,92,-46,4,5099
39,412,2,999,6,-3,92,-46,4,5099
32,132,6,999,6,2,93,-42,4,5195
29,79,2,999,6,-3,92,-46,4,5099
44,341,2,999,6,3,93,-36,4,5228
32,157,3,999,6,3,93,-42,4,5228
56,252,6,999,2,-2,92,-40,4,5076
33,263,6,999,6,-3,92,-46,4,5099
39,215,3,999,6,3,93,-36,4,5228
24,89,2,3,8,-3,92,-29,5,5017
33,143,6,999,6,-3,92,-46,4,5099
58,40,2,999,6,3,94,-41,4,5228
29,10,27,999,6,3,94,-41,4,5228
31,113,6,999,6,3,93,-36,4,5228
27,191,5,999,6,3,93,-36,4,5191
60,481,6,999,8,-3,94,-37,5,4963
55,233,6,999,2,-3,92,-26,5,5017
37,204,2,999,6,-3,92,-46,4,5099
52,403,6,6,8,-3,93,-34,5,5008
46,180,6,999,6,-3,93,-47,4,5099
42,16,2,999,6,-3,92,-46,4,5099
35,447,3,999,6,3,93,-42,4,5228
49,81,6,999,6,-3,92,-26,5,5017
29,361,3,999,6,3,94,-41,4,5228
32,1091,2,5,8,2,93,-42,4,5195
37,395,6,999,8,-3,92,-46,4,5099
39,432,4,999,6,3,94,-41,4,5228
51,596,3,999,6,3,93,-42,4,5228
28,59,3,999,6,-3,92,-46,4,5099
34,77,4,999,6,-3,92,-46,4,5099
31,768,6,999,6,3,93,-36,4,5228
31,96,5,999,6,3,93,-36,4,5228
31,357,2,999,6,3,94,-41,4,5228
38,459,2,999,6,3,93,-36,4,5191
33,11,6,999,6,3,94,-41,4,5228
32,264,62,999,6,3,93,-36,4,5228
54,698,6,999,6,-3,93,-47,4,5099
41,204,2,999,6,3,94,-41,4,5228
59,93,7,999,6,3,93,-36,4,5228
57,374,6,2,8,-3,93,-47,4,5099
38,252,6,999,6,2,93,-42,4,5195
46,158,6,999,6,3,93,-36,4,5191
37,95,6,999,6,2,93,-42,4,5195
47,835,3,999,6,3,94,-41,4,5228
45,505,6,999,6,3,93,-36,4,5228
36,16,6,999,6,3,93,-42,4,5228
40,300,5,999,6,3,93,-42,4,5228
38,180,2,999,8,2,93,-42,4,5195
44,390,2,999,6,3,94,-41,4,5228
25,274,2,999,6,3,93,-36,4,5191
30,135,5,999,6,3,93,-42,4,5228
43,257,2,999,6,2,93,-42,4,5195
58,268,3,999,6,3,93,-36,4,5191
31,157,6,999,6,3,93,-36,4,5191
53,477,2,999,6,3,93,-42,4,5228
52,91,6,999,6,3,93,-36,4,5228
37,76,6,999,8,-3,93,-47,4,5099
58,103,6,999,6,3,93,-42,4,5228
37,436,3,999,6,-3,92,-46,4,5099
38,191,6,999,6,-3,92,-46,4,5099
33,483,2,999,6,-3,93,-47,4,5099
45,250,6,999,6,-3,92,-46,4,5099
44,259,6,999,6,3,93,-36,4,5191
38,389,2,999,6,3,93,-42,4,5228
34,7,6,999,6,-3,94,-39,5,4991
47,123,6,999,6,-2,92,-33,4,5076
59,92,6,999,6,-2,92,-33,4,5076
51,297,2,999,6,3,93,-36,4,5228
31,406,2,999,6,3,94,-41,4,5228
56,104,6,999,8,2,93,-42,4,5195
39,135,2,999,6,3,94,-41,4,5228
41,854,6,999,6,2,93,-42,4,5195
41,147,6,999,6,2,93,-42,4,5195
53,203,4,999,6,3,93,-36,4,5191
35,149,4,999,6,3,93,-42,4,5228
58,144,6,999,6,-3,92,-46,4,5099
25,394,2,999,6,3,94,-41,4,5228
35,523,6,999,8,-3,92,-46,4,5099
28,73,6,999,6,3,93,-42,4,5228
55,197,3,999,8,-3,92,-46,4,5099
54,108,6,999,6,3,93,-36,4,5191
45,80,2,999,6,3,93,-42,4,5228
32,114,6,999,8,-3,93,-47,4,5099
50,122,3,999,6,3,93,-36,4,5228
75,109,6,999,8,-3,93,-47,4,5099
33,1161,4,999,6,3,93,-36,4,5191
29,181,2,999,6,3,93,-36,4,5228
45,239,6,999,6,-3,92,-46,4,5099
38,360,6,999,6,-3,93,-47,4,5099
24,314,6,999,6,3,93,-36,4,5191
41,984,6,999,6,3,93,-36,4,5228
58,663,6,999,6,-2,92,-40,4,5076
34,157,2,999,6,3,93,-36,4,5191
34,141,2,999,6,-3,94,-50,4,4963
37,374,6,999,6,3,93,-36,4,5191
53,706,6,999,6,3,94,-41,4,5228
54,797,64,999,6,3,93,-42,4,5228
32,250,6,999,6,2,93,-42,4,5195
42,311,6,999,6,3,93,-42,4,5228
28,63,2,3,8,-2,92,-31,5,5076
33,111,6,999,6,3,93,-36,4,5191
41,148,2,999,6,-3,93,-47,4,5099
31,49,6,999,6,2,93,-42,4,5195
40,171,4,999,6,3,93,-36,4,5191
53,242,6,999,8,-3,92,-30,5,5017
40,257,6,999,6,3,93,-36,4,5228
82,279,3,3,2,-3,94,-37,5,4963
28,113,6,999,6,3,93,-42,4,5228
30,246,3,999,6,2,93,-42,4,5195
31,309,6,6,3,-3,94,-40,5,4991
32,168,6,999,6,3,93,-36,4,5228
54,153,6,999,6,3,93,-36,4,5228
31,152,6,999,6,3,93,-42,4,5228
50,90,2,999,6,3,93,-36,4,5228
47,117,2,999,6,3,93,-42,4,5228
31,149,6,999,6,-3,92,-46,4,5099
32,640,6,999,6,2,93,-42,4,5195
46,199,2,999,2,-3,94,-50,4,4963
47,1114,2,999,6,-3,92,-46,4,5099
32,74,2,999,2,-3,94,-50,4,4963
52,190,6,999,6,2,93,-42,4,5195
45,738,3,6,8,-3,94,-49,4,4963
32,374,2,999,6,-3,92,-46,4,5099
71,224,6,999,6,-3,94,-38,5,4991
49,344,2,999,6,3,93,-36,4,5191
46,148,60,999,6,3,94,-41,4,5228
46,383,6,999,6,-3,94,-50,4,4963
38,35,6,999,6,3,93,-36,4,5228
57,153,2,999,6,3,93,-36,4,5228
41,772,2,999,8,-3,92,-46,4,5099
44,124,3,999,6,3,93,-36,4,5191
47,345,7,999,6,3,93,-36,4,5228
40,951,2,999,6,3,93,-36,4,5191
57,188,6,999,6,3,93,-36,4,5191
27,128,6,3,8,-3,93,-34,5,5008
52,809,6,999,6,3,93,-36,4,5228
34,192,6,999,6,-2,92,-40,4,5076
42,154,6,999,6,3,93,-36,4,5191
51,17,3,999,6,3,94,-41,4,5228
45,100,6,999,6,3,93,-36,4,5191
56,317,6,999,6,-3,92,-46,4,5099
41,93,6,999,6,-3,92,-46,4,5099
44,111,6,999,6,3,93,-36,4,5228
50,293,3,3,8,-3,92,-46,4,5099
54,119,3,999,6,3,93,-36,4,5228
51,393,6,999,6,3,93,-36,4,5228
30,30,6,999,6,2,93,-42,4,5195
42,38,8,999,6,3,94,-41,4,5228
41,442,66,999,6,3,94,-41,4,5228
47,187,2,999,6,2,93,-42,4,5195
35,113,6,999,8,-3,93,-47,4,5099
58,64,6,999,8,2,93,-42,4,5195
50,629,2,999,6,3,93,-42,4,5228
41,92,6,999,6,3,93,-36,4,5191
38,147,6,999,6,-3,92,-46,4,5099
32,151,2,999,6,2,93,-42,4,5195
21,259,6,999,8,-2,92,-31,5,5076
46,423,6,999,6,3,93,-36,4,5191
42,888,3,999,6,2,93,-42,4,5195
55,76,63,999,6,3,93,-36,4,5228
29,207,6,6,8,-3,94,-50,4,4963
30,100,6,999,6,3,94,-41,4,5228
53,63,6,999,6,2,93,-42,4,5195
35,265,2,999,6,2,93,-42,4,5195
46,273,4,999,6,3,93,-36,4,5191
30,85,2,999,6,3,93,-36,4,5191
43,261,6,999,6,3,93,-42,4,5228
42,136,4,999,6,3,93,-42,4,5228
32,711,6,999,6,3,93,-42,4,5228
41,88,6,999,8,-3,92,-46,4,5099
28,72,3,999,8,-3,92,-46,4,5099
24,113,6,999,6,3,93,-42,4,5228
43,307,6,999,6,-3,93,-47,4,5099
30,39,6,999,6,3,93,-36,4,5228
55,63,2,999,6,2,93,-42,4,5195
51,64,6,999,6,3,93,-42,4,5228
22,154,2,999,6,3,93,-42,4,5228
32,126,6,999,6,2,93,-42,4,5195
43,127,3,999,6,3,93,-42,4,5228
39,156,5,999,6,3,94,-41,4,5228
52,111,8,999,6,3,93,-42,4,5228
38,202,3,999,8,-3,92,-46,4,5099
59,353,4,999,6,-3,93,-47,4,5099
31,159,2,999,6,3,93,-36,4,5191
76,347,4,6,8,-3,92,-30,5,5017
44,76,3,999,6,3,94,-41,4,5228
30,85,2,999,6,3,93,-36,4,5191
32,174,6,999,6,3,94,-41,4,5228
41,280,3,999,6,3,94,-41,4,5228
33,686,4,999,6,3,93,-36,4,5228
59,94,6,999,6,3,93,-36,4,5228
28,225,3,999,6,3,93,-42,4,5228
33,474,2,999,6,-3,92,-46,4,5099
53,76,6,999,6,3,93,-36,4,5228
41,377,6,999,6,-3,92,-50,4,5099
55,185,6,999,6,3,93,-42,4,5228
45,121,6,999,6,3,93,-36,4,5191
35,126,4,999,6,3,93,-42,4,5228
31,160,3,999,6,3,93,-42,4,5228
53,313,4,999,6,3,93,-36,4,5228
35,141,6,999,6,-3,92,-46,4,5099
45,219,6,999,6,-3,92,-46,4,5099
34,267,2,999,6,3,94,-41,4,5228
42,406,3,999,8,-3,93,-47,4,5099
36,151,3,999,6,2,93,-42,4,5195
44,228,3,999,6,3,93,-36,4,5191
50,73,2,999,6,3,93,-36,4,5228
36,355,6,999,6,-3,92,-29,5,5017
27,102,9,999,6,3,93,-42,4,5228
40,97,3,999,6,3,93,-36,4,5191
25,35,6,999,6,3,94,-41,4,5228
29,116,2,999,6,3,93,-36,4,5228
44,83,3,999,6,3,93,-36,4,5191
57,473,2,999,6,3,93,-36,4,5191
30,605,6,999,6,3,93,-42,4,5228
37,585,2,999,6,3,93,-36,4,5228
57,94,6,999,6,3,93,-42,4,5228
32,255,6,999,6,3,93,-42,4,5228
54,1868,2,10,8,-3,94,-50,4,4963
58,846,6,999,6,3,93,-36,4,5228
29,158,5,999,6,3,93,-36,4,5228
60,73,6,999,6,3,93,-36,4,5228
27,404,2,999,6,3,94,-41,4,5228
30,383,3,999,6,3,93,-42,4,5228
42,51,6,999,6,3,93,-36,4,5191
48,87,6,999,6,3,94,-41,4,5228
35,167,2,999,6,3,93,-36,4,5228
46,440,6,999,6,3,93,-36,4,5191
57,673,6,999,6,3,93,-36,4,5191
30,151,3,999,6,3,94,-41,4,5228
28,48,4,999,8,-3,93,-47,4,5099
34,309,6,999,6,3,93,-36,4,5191
42,236,6,999,6,3,94,-41,4,5228
30,288,6,999,6,2,93,-42,4,5195
27,111,6,999,6,-3,94,-38,5,4991
23,87,6,999,6,3,93,-36,4,5228
43,193,6,999,6,3,93,-36,4,5191
59,318,6,999,6,3,93,-36,4,5191
31,209,6,999,2,-3,94,-38,5,4991
43,173,2,999,6,3,93,-36,4,5191
52,503,2,999,6,3,93,-36,4,5191
26,127,6,999,6,3,93,-42,4,5228
24,101,6,999,6,3,93,-36,4,5191
35,370,6,999,8,2,93,-42,4,5195
59,1207,4,999,8,-3,94,-39,5,4991
28,262,6,999,6,3,93,-36,4,5191
37,211,2,999,6,3,93,-36,4,5191
46,609,6,999,8,-3,93,-47,4,5099
26,806,3,6,2,-3,94,-40,5,4991
40,77,6,999,6,3,93,-36,4,5228
56,335,2,999,6,3,93,-42,4,5228
40,459,6,999,6,-3,92,-46,4,5099
29,266,2,999,6,3,93,-36,4,5191
28,225,6,999,8,-3,92,-46,4,5099
48,257,7,999,6,3,93,-36,4,5191
28,434,6,999,6,-3,92,-46,4,5099
33,191,4,999,6,3,93,-36,4,5191
56,82,6,999,6,3,94,-41,4,5228
57,388,4,999,6,3,93,-36,4,5228
24,15,6,999,6,3,93,-42,4,5228
39,17,2,999,6,3,93,-36,4,5191
40,155,6,999,6,3,93,-36,4,5191
54,339,3,999,6,3,94,-41,4,5228
25,188,2,999,6,3,94,-41,4,5228
36,951,3,999,8,-3,92,-46,4,5099
48,288,6,999,6,2,93,-42,4,5195
32,206,6,999,6,3,93,-36,4,5228
48,154,2,999,6,3,93,-42,4,5228
30,72,3,999,6,3,93,-36,4,5191
41,293,2,999,6,3,93,-36,4,5191
54,141,6,999,6,3,93,-42,4,5228
29,215,6,999,6,-3,93,-34,5,5008
28,102,2,999,6,3,94,-41,4,5228
30,178,2,999,6,3,93,-36,4,5191
54,461,3,999,6,3,93,-36,4,5191
33,82,6,999,6,3,93,-36,4,5191
38,204,6,11,8,-3,92,-46,4,5099
46,143,8,999,6,3,94,-41,4,5228
38,50,3,999,6,3,94,-41,4,5228
38,81,6,999,6,3,93,-42,4,5228
33,233,6,999,6,3,93,-36,4,5191
25,56,6,999,6,3,93,-36,4,5191
29,104,60,999,6,-3,92,-46,4,5099
60,55,65,999,6,3,93,-42,4,5228
57,126,2,999,6,-3,92,-46,4,5099
36,142,6,999,6,3,93,-36,4,5228
54,9,5,999,6,3,93,-42,4,5228
25,247,3,999,6,3,93,-36,4,5191
41,130,4,999,6,3,93,-36,4,5191
54,336,6,999,6,-3,93,-47,4,5099
39,101,6,999,6,-3,92,-46,4,5099
55,56,6,999,8,-3,92,-46,4,5099
40,160,3,999,6,3,93,-36,4,5191
43,424,6,999,6,3,93,-36,4,5191
81,617,2,999,6,-3,92,-46,4,5099
43,143,6,999,6,-3,92,-46,4,5099
34,238,6,6,2,-3,94,-39,5,4991
42,188,6,999,6,3,93,-36,4,5228
30,154,2,999,6,2,93,-42,4,5195
24,222,2,999,6,3,94,-41,4,5228
51,10,5,999,6,3,93,-36,4,5228
42,632,5,10,8,-3,92,-46,4,5099
51,91,7,999,6,3,93,-36,4,5191
38,90,3,999,6,3,93,-42,4,5228
45,187,6,999,6,3,93,-36,4,5228
51,86,6,999,6,3,93,-36,4,5228
44,165,6,999,6,3,93,-36,4,5191
52,102,6,999,6,2,93,-42,4,5195
49,212,6,999,6,3,93,-36,4,5191
49,57,6,999,6,3,93,-36,4,5191
52,54,4,999,6,3,93,-36,4,5191
32,73,4,999,6,2,93,-42,4,5195
27,184,3,999,6,3,93,-42,4,5228
44,173,8,999,8,-3,92,-46,4,5099
33,6,7,999,6,-3,92,-46,4,5099
30,70,2,999,6,3,93,-42,4,5228
32,96,6,999,6,3,93,-42,4,5228
36,102,3,999,6,3,94,-41,4,5228
49,98,6,999,6,3,93,-42,4,5228
48,106,2,999,6,-3,92,-46,4,5099
48,336,8,999,6,3,93,-36,4,5228
42,456,2,999,6,3,93,-36,4,5191
28,293,3,999,6,-3,92,-46,4,5099
52,118,6,999,6,3,93,-36,4,5228
23,314,2,999,6,3,93,-42,4,5228
36,167,6,999,6,3,93,-36,4,5191
43,111,2,999,6,3,93,-36,4,5228
31,236,6,999,6,-3,92,-46,4,5099
49,155,2,999,6,3,93,-36,4,5228
36,80,3,999,6,3,93,-42,4,5228
47,241,2,999,6,3,93,-36,4,5191
31,202,7,999,6,3,93,-36,4,5228
46,88,6,999,6,3,94,-41,4,5228
54,439,3,999,6,3,93,-36,4,5228
35,322,3,999,6,-3,92,-46,4,5099
37,51,60,999,6,3,93,-36,4,5191
44,147,6,999,6,3,94,-41,4,5228
30,417,6,3,8,-3,92,-46,4,5099
33,498,5,999,6,3,93,-42,4,5228
57,405,3,999,6,-3,92,-46,4,5099
39,219,4,999,6,3,93,-36,4,5191
43,117,2,999,6,-3,92,-46,4,5099
32,72,2,999,6,3,93,-36,4,5191
29,68,2,999,6,-3,92,-46,4,5099
35,82,2,999,8,-3,92,-46,4,5099
47,99,2,999,6,-3,92,-46,4,5099
37,252,6,999,6,2,93,-42,4,5195
35,712,6,999,6,-3,93,-47,4,5099
37,171,6,999,6,3,93,-42,4,5228
36,112,2,999,6,3,93,-36,4,5228
50,84,6,999,6,3,93,-36,4,5228
30,135,6,999,6,3,93,-36,4,5228
33,132,6,999,6,3,93,-42,4,5228
37,223,6,999,6,3,93,-42,4,5228
45,133,6,999,6,-3,92,-46,4,5099
30,258,2,999,8,2,93,-42,4,5195
51,345,2,999,6,-3,92,-46,4,5099
49,58,60,999,6,3,93,-36,4,5191
31,958,5,999,6,3,93,-36,4,5228
40,250,6,999,6,3,93,-42,4,5228
41,898,2,999,6,3,93,-36,4,5228
58,185,6,2,8,-3,93,-47,4,5099
49,282,6,999,6,3,93,-36,4,5191
39,135,6,999,6,3,93,-36,4,5191
48,175,6,999,6,3,93,-36,4,5191
50,235,2,999,6,3,93,-42,4,5228
54,99,3,999,6,3,93,-36,4,5228
38,181,6,999,6,3,93,-36,4,5191
51,132,2,999,6,3,93,-36,4,5228
36,117,4,999,6,3,93,-36,4,5191
35,372,2,999,6,2,93,-42,4,5195
44,126,6,999,6,3,93,-36,4,5228
43,69,6,999,8,-3,92,-46,4,5099
30,183,7,999,6,3,93,-36,4,5228
41,270,6,999,6,3,93,-36,4,5191
27,134,2,999,6,3,93,-36,4,5191
45,449,2,5,3,-3,94,-50,4,4963
26,160,3,999,6,3,93,-36,4,5191
36,155,2,999,6,3,93,-36,4,5191
24,115,6,999,8,-2,92,-33,4,5076
46,205,6,999,6,2,93,-42,4,5195
61,403,6,3,2,-3,93,-40,5,5008
50,145,4,999,6,3,93,-36,4,5191
49,82,9,999,6,3,93,-36,4,5191
55,548,6,999,8,-3,93,-47,4,5099
54,109,2,999,6,3,93,-36,4,5228
40,207,3,999,6,3,93,-42,4,5228
58,173,6,999,6,-3,92,-46,4,5099
58,175,6,999,6,3,93,-42,4,5228
36,379,6,999,6,3,93,-36,4,5228
30,105,6,999,6,3,93,-36,4,5228
45,544,6,999,6,3,93,-42,4,5228
40,401,6,999,8,2,93,-42,4,5195
42,84,2,999,6,3,93,-42,4,5228
43,128,7,999,6,-3,92,-46,4,5099
24,86,6,999,6,3,93,-42,4,5228
49,549,3,999,6,3,93,-42,4,5228
55,6,6,999,6,-3,94,-37,5,4963
49,183,6,999,6,3,93,-36,4,5228
48,291,6,999,6,3,94,-41,4,5228
49,151,6,999,6,3,93,-36,4,5228
40,98,6,999,6,3,93,-36,4,5191
35,301,2,999,6,-3,92,-46,4,5099
32,16,66,999,6,3,93,-36,4,5191
67,655,2,5,5,-3,94,-50,4,4963
41,170,4,999,6,-3,92,-46,4,5099
73,179,6,999,6,-3,92,-50,4,5099
32,73,7,999,6,3,93,-36,4,5191
33,113,3,999,6,3,93,-36,4,5228
36,86,4,999,6,-3,92,-46,4,5099
40,180,6,999,8,2,93,-42,4,5195
25,212,2,999,6,3,93,-42,4,5228
60,130,2,999,6,-2,92,-31,5,5076
45,391,6,999,6,3,93,-42,4,5228
33,91,2,999,6,2,93,-42,4,5195
31,280,7,999,6,3,93,-36,4,5228
48,750,2,999,6,3,93,-36,4,5191
42,257,6,999,6,-3,93,-47,4,5099
40,454,3,999,6,3,93,-36,4,5228
30,171,6,7,8,-3,94,-39,5,4991
41,38,6,999,6,3,94,-41,4,5228
36,23,64,999,6,3,93,-36,4,5228
41,268,6,999,6,2,93,-42,4,5195
60,112,6,999,6,3,93,-36,4,5191
32,363,6,999,8,-3,92,-46,4,5099
44,775,5,999,8,-3,92,-46,4,5099
25,164,6,999,6,3,93,-42,4,5228
30,988,6,999,6,3,93,-42,4,5228
25,109,6,999,6,3,94,-41,4,5228
31,132,6,999,6,3,93,-36,4,5228
44,471,3,999,6,3,94,-41,4,5228
29,259,6,999,6,3,93,-42,4,5228
47,42,6,999,6,3,93,-36,4,5191
18,385,6,3,8,-3,92,-29,5,5017
25,125,4,999,6,3,93,-36,4,5191
29,886,3,999,6,3,93,-36,4,5191
53,51,4,999,6,3,93,-36,4,5228
36,406,6,999,6,3,93,-36,4,5228
45,185,6,999,6,3,94,-41,4,5228
31,154,6,999,6,2,93,-40,4,5195
54,34,66,999,6,3,94,-41,4,5228
51,334,2,999,6,3,94,-41,4,5228
44,955,2,999,6,-3,92,-46,4,5099
24,545,2,999,6,3,93,-42,4,5228
40,124,6,999,6,3,93,-36,4,5228
39,126,2,999,6,3,93,-36,4,5191
44,659,6,999,8,-3,92,-46,4,5099
44,230,6,999,6,-3,93,-47,4,5099
52,699,2,999,6,3,94,-41,4,5228
51,809,6,999,8,-3,92,-46,4,5099
38,1276,6,999,6,-3,92,-46,4,5099
34,83,2,999,8,-3,92,-46,4,5099
23,251,6,999,6,3,93,-42,4,5228
30,25,6,999,6,3,93,-36,4,5191
